number,year,veg,bot,depth,temp,sal
0,1993,None,Sand,0.6,22.2,24.6
0,1993,None,Sand,0.5,21.5,25
280,1993,Seagrass,Mud,0.7,22.4,25
0,1993,None,Mud,0.6,22.5,21.9
0,1993,None,Mud,0.5,22.5,21.9
0,1993,None,Mud,0.9,22.8,22.7
0,1993,None,Mud,0.4,22.8,22.7
8,1993,None,Sand,0.6,22.5,24
0,1993,None,Sand,0.7,22.5,24
1,1993,None,Sand,0.7,21.6,24.4
2,1993,None,Sand,0.6,21.6,24.4
4,1993,None,Sand,0.4,22.4,33
4,1993,None,Sand,0.6,24.2,33.4
1,1993,Seagrass,Sand,1,24.2,33.4
119,1994,Seagrass,Mud,0.8,24.4,31.6
0,1994,None,Mud,0.3,23.8,30.9
10,1994,None,Sand,0.8,25,28.6
0,1994,None,Mud,0.6,25.5,27.7
4,1994,None,Mud,0.6,25.3,27
0,1994,None,Mud,1,27.5,27.5
24,1994,Seagrass,Mud,0.3,27.4,34.5
2688,1994,Seagrass,Mud,0.3,27.6,34.3
57,1994,Seagrass,Mud,1,28.4,32.9
60,1994,Seagrass,Mud,0.9,28.4,32.9
0,1994,None,Sand,0.4,26.9,28.7
0,1994,None,Mud,0.4,26.3,29.2
40,1994,Seagrass,Sand,0.6,30,28.9
0,1994,None,Sand,0.2,30,28.9
3,1994,Seagrass,Mud,0.6,23.9,30.7
40,1994,Seagrass,Sand,1.2,24.9,30.3
7,1994,Seagrass,Sand,1.3,25.5,30.2
1,1994,Seagrass,Sand,0.5,25.8,30.2
181,1995,None,Sand,0.4,18.4,29
106,1995,None,Mud,0.6,19.1,28.5
2,1995,None,Sand,0.3,19.1,29.9
591,1995,None,Mud,0.6,19.4,31
1,1995,None,Sand,0.3,21.6,10.2
182,1995,Seagrass,Mud,0.8,20.8,29.2
2,1995,Seagrass,Sand,0.6,19.5,31.5
33,1995,Seagrass,Sand,0.5,19.3,31.4
0,1995,Seagrass,Sand,0.8,19.7,31.4
2,1995,None,Sand,1,20.7,30.5
0,1995,None,Sand,0.3,19.9,30.8
9,1995,Seagrass,Mud,0.3,24.4,23.9
577,1995,Seagrass,Sand,0.5,20,32
9,1995,Seagrass,Sand,0.7,20.6,31.3
80,1995,None,Sand,0.7,21.6,32.6
905,1995,Seagrass,Sand,1,23.6,33.6
2,1995,None,Sand,0.8,23.8,33.1
0,1995,None,Mud,0.7,23.4,32.5
50,1995,None,Sand,0.9,20.9,32.6
5,1995,None,Sand,0.6,20.8,32.7
3,1995,None,Sand,0.9,21.1,32
10,1995,Seagrass,Sand,0.6,20.5,33.5
0,1995,None,Sand,0.7,21.2,30.4
353,1995,None,Sand,0.9,22.2,34.1
0,1995,None,Sand,0.3,22.7,22.1
0,1995,Seagrass,Mud,0.4,22.3,22.4
16,1995,None,Mud,0.8,22.3,22.5
1,1995,None,Sand,0.8,24.3,22
0,1995,Seagrass,Sand,0.7,25.6,22
0,1995,None,Mud,0.6,27,21.9
